strategy,total_return,CAGR,annualized_vol,Sharpe,max_drawdown,Calmar,hit_rate,annualized_turnover,trades,exposure
Regime-aware HMM,0.5797478543746224,0.08972899836994541,0.11128456925112497,0.8278607394995323,-0.15313185984873567,0.5859590450908133,0.3900074571215511,18.604026845637584,99,0.7106636838180462
K-Means Regime Strategy,0.8088752871858695,0.1178205532854355,0.12572434505605873,0.9489207653226992,-0.19961403430256597,0.5902418319287531,0.459358687546607,14.46979865771812,77,0.8329604772557793
Buy and Hold,1.1083578719512035,0.150470387201729,0.1693295260188812,0.9124588290331347,-0.24496386028119965,0.6142554539637014,0.5458612975391499,0.1879194630872483,1,1.0
Standalone Momentum,0.6829546813786631,0.10276610257124852,0.10780614824015597,0.9613874770406707,-0.14199150973689056,0.7237482210145769,0.3713646532438479,19.355704697986578,103,0.6726323639075317
Standalone Mean Reversion,0.4273278292194598,0.0691484656617285,0.1315560965467667,0.5737023019303514,-0.2424948350180831,0.28515438548030114,0.21551081282624907,48.107382550335565,256,0.395227442207308
