Date,Regime-aware HMM,K-Means Regime Strategy,Buy and Hold,Standalone Momentum,Standalone Mean Reversion
2021-01-04,-0.0,-0.0,-0.013614022855635732,-0.0,-0.0
2021-01-05,0.006387183350012149,0.006387183350012149,0.006887183350012149,0.006387183350012149,0.0
2021-01-06,0.005978708899742058,0.005978708899742058,0.005978708899742058,0.005978708899742058,0.0
2021-01-07,0.014857458281356095,0.014857458281356095,0.014857458281356095,0.014857458281356095,0.0
2021-01-08,0.005697664735709207,0.005697664735709207,0.005697664735709207,0.005697664735709207,0.0
2021-01-11,-0.006740854065642066,-0.006740854065642066,-0.006740854065642066,-0.006740854065642066,-0.0
2021-01-12,0.00021104791696591185,0.00021104791696591185,0.00021104791696591185,0.00021104791696591185,0.0
2021-01-13,0.002693192509778397,0.002693192509778397,0.002693192509778397,0.002693192509778397,0.0
2021-01-14,-0.0035018969939409894,-0.0035018969939409894,-0.0035018969939409894,-0.0035018969939409894,-0.0
2021-01-15,-0.007292680104330707,-0.007292680104330707,-0.007292680104330707,-0.007292680104330707,-0.007792680104330707
2021-01-19,0.00785154726106363,0.00785154726106363,0.00785154726106363,0.00785154726106363,0.00785154726106363
2021-01-20,0.013838868877998456,0.013838868877998456,0.013838868877998456,0.013838868877998456,0.013838868877998456
2021-01-21,0.0009118310289488729,0.0009118310289488729,0.0009118310289488729,0.0009118310289488729,-0.0005
2021-01-22,-0.003539489749368796,-0.003539489749368796,-0.003539489749368796,-0.003539489749368796,-0.0
2021-01-25,0.003943767704872814,0.003943767704872814,0.003943767704872814,0.003943767704872814,0.0
2021-01-26,-0.0015607522448870537,-0.0015607522448870537,-0.0015607522448870537,-0.0015607522448870537,-0.0
2021-01-27,-0.024440666225067464,-0.024440666225067464,-0.024440666225067464,-0.024440666225067464,-0.0
2021-01-28,0.008600234106101778,0.008600234106101778,0.008600234106101778,0.008600234106101778,0.008100234106101778
2021-01-29,-0.02001945736909927,-0.02001945736909927,-0.02001945736909927,-0.02001945736909927,-0.02001945736909927
2021-02-01,-0.0005,-0.0005,0.016645513196647865,-0.0005,0.016645513196647865
2021-02-02,0.013640218760602785,0.013640218760602785,0.014140218760602785,0.013640218760602785,0.014140218760602785
2021-02-03,0.0007864853735115584,0.0007864853735115584,0.0007864853735115584,0.0007864853735115584,0.0007864853735115584
2021-02-04,0.011365543590695415,0.011365543590695415,0.011365543590695415,0.011365543590695415,-0.0005
