Date,open,high,low,close,volume
2015-01-02,170.91175939051038,171.325829928709,169.08983891329257,170.12501525878906,121465900
2015-01-05,169.08155533396388,169.24718101537695,166.74620416225187,167.0526123046875,169632600
2015-01-06,167.35898134910641,167.88071412827958,164.68408994172034,165.47911071777344,209151400
2015-01-07,166.80410819274735,167.88069369402626,166.35691774819225,167.54115295410156,125346700
2015-01-08,168.94911085239,170.72962232186984,168.93255712376094,170.51429748535156,147217800
2015-01-09,170.92831011812547,170.94487647756347,168.53498295474012,169.14781188964844,158567300
2015-01-12,169.2803208086118,169.43766963528094,167.21824497501035,167.82278442382812,144396100
2015-01-13,169.04010981735388,170.16638190252374,166.05052078045333,167.3507080078125,214553300
2015-01-14,165.3383521156499,166.53916672214785,164.4439709204368,166.3404083251953,192991100
2015-01-15,166.97808377546713,167.29276878135636,164.7006958904179,164.81663513183594,176613900
2015-01-16,164.60960440770086,167.13543720440362,164.42741236095966,166.97808837890625,211879600
2015-01-20,167.61573238611436,167.88074357008344,165.76898150488393,167.33416748046875,130991100
2015-01-21,166.87039932448977,168.65918678671582,166.4066424201559,168.17886352539062,122942700
2015-01-22,168.9324774316333,170.81234829538025,167.55776041788667,170.6798553466797,174356000
2015-01-23,170.42313339031367,170.6798677187709,169.6115587363211,169.7440643310547,117516800
2015-01-26,169.5287243661273,170.2326365292039,168.81652270697356,170.14154052734375,92009700
2015-01-27,168.0877619624292,169.04011895690113,167.06915217860907,167.8972930908203,134044600
2015-01-28,169.08164126831477,169.18101420038218,165.55376317912652,165.74423217773438,168514300
2015-01-29,165.9428918715796,167.53292102009297,164.5350421112368,167.2761993408203,173585400
2015-01-30,166.10027140317112,167.42528962048652,164.90774616208577,165.17274475097656,197729700
2015-02-02,165.66959643885335,167.30931195061558,163.85596577085477,167.2182159423828,163107000
2015-02-03,168.11260679625465,169.64467255315608,167.7399459094598,169.63638305664062,124212900
2015-02-04,168.8744782685372,170.08356945276037,168.5349374920139,168.99041748046875,134306700
2015-02-05,169.65295806926244,170.84548307699293,169.57842841538633,170.6964111328125,97953200
2015-02-06,171.06079833152506,171.62394076730268,169.70264763355704,170.22438049316406,125672000
2015-02-09,169.57844839821885,170.29892707677755,169.05671548674957,169.46250915527344,87219000
2015-02-10,170.49765727271208,171.5245439299293,169.50387805595938,171.267822265625,96164200
2015-02-11,171.10217375218946,171.79780900185008,170.45622492944372,171.36717224121094,91087800
2015-02-12,172.16221362577974,173.07317368320975,171.40032550339623,173.01519775390625,97545900
2015-02-13,173.13945916904026,173.7771186932326,172.88272482333429,173.72743225097656,93670400
2015-02-17,173.41271624816068,174.1746170702164,173.1642840631735,174.00070190429688,76968200
2015-02-18,173.6280913409955,174.09184840269504,173.36308008492023,174.01731872558594,80652900
2015-02-19,173.4209868932918,174.25740464349113,173.28020445829353,173.8930206298828,91462500
2015-02-20,173.4789416781696,175.01100730487258,172.85783604081865,174.9364776611328,140896400
2015-02-23,174.68805002173943,174.91165161132812,174.307099633419,174.91165161132812,74411100
2015-02-24,174.83711952076607,175.60729720252223,174.538988262736,175.40853881835938,72472300
2015-02-25,175.28431892593602,175.76464219992837,174.91993488108469,175.2594757080078,73061700
2015-02-26,175.1683836897917,175.32573249787598,174.44789244416535,175.0524444580078,72697900
2015-02-27,174.95305374936794,175.21806492067336,174.4064903222998,174.4561767578125,108076000
2015-03-02,174.5555154906968,175.61553469575227,174.50582906490132,175.5575714111328,87491400
2015-03-03,175.12695152826169,175.60727475125827,173.97583621956494,174.83709716796875,110325800
2015-03-04,174.24088012505203,174.31542242677207,173.1311740981912,174.10009765625,114497200
2015-03-05,174.42303554530858,174.57210748101213,173.7853761387244,174.29054260253906,76873000
2015-03-06,173.42929317901158,173.85993005329047,171.50801255821912,171.83926391601562,188128000
2015-03-09,172.03807013364073,172.9076083486677,171.88072127219917,172.551513671875,89818900
2015-03-10,171.18499681365492,171.2678033149367,169.7108945082944,169.75230407714844,157121300
2015-03-11,170.0090996384641,170.18301484870443,169.27205448350605,169.35487365722656,110145700
