Date,open,high,low,close,volume,log_price,log_return,rolling_vol,momentum,simple_return,range,log_volume,volume_z,dollar_volume,amihud_liquidity,vix
2015-03-30,172.17374153535073,173.52964087435808,172.15711392232274,173.2301788330078,96180400,5.154621223634644,0.012126185822778801,0.0090396281035801,-0.013345807705865909,0.01220000609844285,0.007923139959108661,18.38173615267393,-0.719326168700421,16661347892.230225,3.2770368924011085e-13,14.510000228881836
2015-03-31,172.40662840121527,173.10538151826552,171.65797975995795,171.71620178222656,126768700,5.14584312444313,-0.008778099191514066,0.009192133021009357,-0.01801154262285376,-0.008739684164620676,0.00842903432107812,18.657874724070187,0.11847321327921832,21768239668.870544,3.3720647363999695e-13,15.289999961853027
2015-04-01,171.6830400608599,171.70799418481468,170.11918059787712,171.10906982421875,137303600,5.142301188401576,-0.0035419360415538392,0.009180406810859859,-0.0173292192928578,-0.0035356707853215763,0.00928538498029215,18.73770509035076,0.3748188280313437,23493891279.5166,3.341488393052916e-13,15.109999656677246
2015-04-02,171.0424354464049,172.17373503850223,170.85943016732784,171.72454833984375,86900900,5.145891729960185,0.0035905415586094946,0.009225336882331717,-0.01483196178526125,0.0035969952747525458,0.007653564291654854,18.280278946913867,-0.9977991290803312,14923017802.825928,3.4209909705596056e-13,14.670000076293945
2015-04-06,170.8344874743749,173.39654885986658,170.70140310210584,172.8808135986328,114368200,5.152602418334206,0.00671068837402089,0.008797766752355187,0.00604289056562024,0.006733255495311008,0.015589617503871207,18.554933626240615,-0.1379243161184619,19772067465.811157,3.3716210918621214e-13,14.739999771118164
2015-04-07,172.90577669260682,173.65442551024032,172.39004140458533,172.42330932617188,81236300,5.149952553998422,-0.00264986433578418,0.00877293791274592,-0.0007432678738190646,-0.0026463565443595183,0.007333023073250249,18.212872749572334,-1.1625545002259243,14007031683.413696,3.33276886713191e-13,14.779999732971191
2015-04-08,172.64787017814302,173.44642704478457,172.25690555013824,173.00555419921875,89351900,5.1533236991802145,0.0033711451817923788,0.007908011930389522,0.01898335947771823,0.003376833882392516,0.0068756260465289735,18.308093064033045,-0.8397785011073231,15458374978.253174,3.1352009221603093e-13,13.979999542236328
2015-04-09,172.83926548017172,174.00383337971292,172.34848420056778,173.7709197998047,85548900,5.15773787892269,0.00441417974247571,0.007904276762587623,0.025741521465231898,0.004423936584744492,0.009526042568297404,18.264598700242022,-0.9433417694647189,14865911040.861511,3.220838583264422e-13,13.09000015258789
2015-04-10,174.02043665507665,174.76077166783332,173.82080373926343,174.71917724609375,72722900,5.163179983560184,0.005442104637493728,0.007514934797298454,0.018550096434711172,0.005456939788208048,0.005379878404795513,18.10216688602625,-1.407842099063459,12706085254.949951,3.043148677110224e-13,12.579999923706055
2015-04-13,174.57778751880323,175.20999234303937,173.87904684312468,173.928955078125,74436600,5.158646911686986,-0.004533071873197514,0.007443085110992202,0.02016813871005052,-0.00452281301013524,0.007652236508388496,18.1254583143266,-1.2971676400893004,12946680057.56836,3.1071203498550873e-13,13.9399995803833
2015-04-14,173.72928217590538,174.444662996307,173.10540399623537,174.26165771484375,75099900,5.1605579496400455,0.001911037953059136,0.006869283552310125,0.00880709154288617,0.001912865149849896,0.007685333754044404,18.134329785175552,-1.229963939071531,13087033068.218994,2.8978552680174953e-13,13.670000076293945
2015-04-15,174.72748944644854,175.55100054245278,174.6443006097776,175.0435791015625,99529300,5.1650349663598245,0.004477016719778959,0.006876325457265132,0.016260989596648123,0.004487053531869067,0.005179852567737527,18.415962631142154,-0.30980088493618063,17421964897.473145,2.934896327475631e-13,12.84000015258789
2015-04-16,174.7108915740687,175.50113494303832,174.5112459332694,174.99371337890625,68934900,5.1647500497291405,-0.00028491663068397344,0.00635812403904533,0.0040263579836938845,-0.0002848760457949684,0.00565671183641639,18.048673138944906,-1.4580581864995008,12063174132.403564,2.796881618566906e-13,12.600000381469727
2015-04-17,173.8041297758669,174.04535706670745,172.19867679602126,172.98060607910156,191113200,5.153179484624694,-0.01157056510444665,0.006811119156681817,-0.002972521883616963,-0.01150388354492371,0.010675649210303565,19.06837648060838,1.7684487795030797,33058877165.716553,2.8601482484014994e-13,13.890000343322754
2015-04-20,173.903967892209,174.89385667427484,173.82079174730367,174.56112670898438,92189500,5.162274976629606,0.009095492004911776,0.0068326645267202035,-0.002665055599309518,0.00913698168660626,0.006147215861868871,18.339356799178336,-0.5028958673050234,16092702990.737915,3.001480850472678e-13,13.300000190734863
2015-04-21,175.24320896092908,175.40126012071377,174.05368739890025,174.3531494140625,72559800,5.161082836704211,-0.0011921399253944642,0.00682415102445604,-0.0019069170013121806,-0.0011914296088876286,0.007728984112659978,18.099921607427774,-1.228797138976718,12651029650.854492,2.9708332760175625e-13,13.25
2015-04-22,174.69422819886228,175.3929815029831,173.7708878579371,175.20997619628906,78264600,5.165985118640811,0.004902281936599806,0.006780570868124714,0.00863051510960311,0.004914317780355892,0.009257998204558564,18.175605951450027,-0.9746468203476283,13712738703.012085,2.941106657611563e-13,12.710000038146973
2015-04-23,174.81065383286185,176.29965013641794,174.6941970850558,175.65081787109375,102585900,5.1684980349554435,0.002512916314632463,0.005767953095992256,0.02590537332942411,0.0025160763352356508,0.009140026051802044,18.446211054356418,-0.11025790025900943,18019297237.042236,2.7405052176705407e-13,12.479999542236328
2015-04-24,176.06676766238417,176.32463531418654,175.6092543965239,176.05844116210938,61327400,5.1708159919785075,0.0023179570230640323,0.005705575232462766,0.03060754022262291,0.002320645562349455,0.004063315072771358,17.931737283095185,-1.671613735737554,10797206444.525146,2.8022349561474787e-13,12.289999961853027
2015-04-27,176.62412676712225,176.7488973636394,175.13512995354867,175.3264617919922,79358100,5.166649732001177,-0.004166259977330888,0.005841395136595002,0.0241546941893116,-0.004157593156486006,0.009204357366233219,18.18948107912203,-0.8351703849477596,13913574887.535095,2.8957878746584696e-13,13.119999885559082
2015-04-28,175.30148992418802,175.93368203726482,174.12859566432547,175.88377380371094,86863500,5.169823400778522,0.003173668777345817,0.005276367319262683,0.015202177143878615,0.0031787101959539488,0.010262949980558454,18.279848478986285,-0.5216969030686605,15277880185.798645,2.6357509967188094e-13,12.40999984741211
2015-04-29,174.99370225288143,175.75899145469907,174.35319632844374,175.1600799560547,125684900,5.1657002984074865,-0.004123102371035969,0.004924406878615843,0.01985717396435671,-0.004114614054528398,0.00802577349021548,18.649288539057423,0.7272375173116805,22014977133.268738,2.527767819740273e-13,13.390000343322754
2015-04-30,174.5861460630137,174.97711089938906,172.70618424737742,173.40493774414062,161304900,5.155629539974113,-0.010070758433373683,0.005431166704301784,0.013328351572536867,-0.010020218147618998,0.01309608988968005,18.89880692081134,1.5269741567646067,27971066142.32483,2.632408880844198e-13,14.550000190734863
2015-05-01,174.1867888291408,175.32641497531887,174.08697237858064,175.28482055664062,103399700,5.166412196943728,0.010782656969615445,0.005856419490788351,0.020520466983542818,0.010840999321909628,0.007071020712473628,18.45411261868043,0.06981358627898855,18124397860.110474,2.809569242299445e-13,12.699999809265137
2015-05-04,175.7090605129889,176.3662193542195,175.6009302513046,175.783935546875,70927200,5.169255601933968,0.0028434049902399394,0.005721128897322051,0.016653183599761867,0.0028474513003999835,0.004353578161360748,18.077164556859827,-1.155822313095721,12467862353.320312,2.7538973818269734e-13,12.850000381469727
2015-05-05,175.5427384617421,175.90043533342572,173.6295088900631,173.7709197998047,113326200,5.15773787892269,-0.011517723011277958,0.0063177570374207265,0.007785324924268089,-0.011451647960933897,0.013068506778803182,18.545780943749023,0.3958934237158318,19692798011.416626,2.9517417836453753e-13,14.3100004196167
2015-05-06,174.31987760631245,174.62765344280064,171.99072989221568,173.05548095703125,135060200,5.153612242258382,-0.004125636664308097,0.006353820587465416,0.0002885430781676135,-0.004117137916963665,0.015237446025992595,18.72123116293321,0.9464573674729969,23372907869.152832,2.930959152908773e-13,15.149999618530273
2015-05-07,172.95568267434402,174.17017122825814,172.6229526914599,173.7459259033203,88244900,5.157594036131548,0.003981793873165884,0.006338780029825415,-0.00014384279114221243,0.003989731746551817,0.008905063694323362,18.29562646173948,-0.44747222246710605,15332191856.74591,2.912343418062354e-13,15.130000114440918
2015-05-08,175.4179260513807,176.23312338675464,175.33473721002545,176.03347778320312,155877300,5.170674191626924,0.013080155495376111,0.006890456232590239,0.007494208066740171,0.013166074933784078,0.005103496153360168,18.864579717268604,1.3696881218728956,27439623226.45569,2.9365342409038504e-13,12.859999656677246
2015-05-11,175.99189859029525,176.25808003936282,175.11846651482492,175.19332885742188,75708100,5.165890100479512,-0.004784091147412184,0.00690008814132848,0.007243188792525501,-0.004772665610889959,0.006504891093572189,18.142395714004447,-0.9441043340209503,13263554060.470581,2.941814535158697e-13,13.850000381469727
2015-05-12,174.361520342868,175.20999844593865,173.5379963581667,174.66929626464844,119727600,5.162894450489885,-0.0029956499896268696,0.006929286402803222,0.0023365008498394957,-0.002991167507296555,0.00957238692505308,18.600729720390643,0.5124130400638202,20912735635.455322,2.940424507966947e-13,13.859999656677246
2015-05-13,175.07686956643255,175.70074779807248,174.4696316416302,174.70254516601562,94667900,5.1630847858147435,0.0001903353248584594,0.006853199565547744,-0.001950180545081004,0.00019035343977580332,0.007046927423251809,18.36588553554152,-0.25247914464323434,16538723075.52185,2.817691031519207e-13,13.760000228881836
2015-05-14,175.7174083707801,176.61579465109463,175.4429003940587,176.5242919921875,95934000,5.173458498586762,0.010373712772018706,0.0072412981779650006,0.008708448857621676,0.01042770627320122,0.006644378763959751,18.379171012995613,-0.22000321159849773,16934681427.978516,3.1121677082117383e-13,12.739999771118164
2015-05-15,176.71556091308594,176.85697176525187,176.23309363890243,176.71556091308594,76510100,5.174541439472498,0.0010829408857357947,0.006667128985185273,0.02136195484780412,0.0010835274779457116,0.003530408545381473,18.15293331622587,-0.9371519716725549,13520525237.016296,2.9772163751311403e-13,12.380000114440918
2015-05-18,176.5492065999346,177.51412851366834,176.48265807263678,177.26458740234375,74549700,5.177643460487646,0.0031020210151480043,0.006417341922704443,0.01536848385804035,0.003106837261082074,0.005818818389768924,18.126976575022056,-0.9872579617746512,13215021811.468506,2.8119868281192147e-13,12.729999542236328
2015-05-19,177.38106661495368,177.65557456500738,176.9235533648642,177.2063751220703,72114600,5.177315014510677,-0.0003284459769687942,0.006406350812201381,0.01623217780646602,-0.00032839204449397474,0.004130896530324713,18.093767078288117,-1.0905901741543087,12779166859.378052,2.7777213448709267e-13,12.850000381469727
2015-05-20,177.30619103184608,177.830252816043,176.7655016333957,177.08160400390625,76857500,5.176610665897833,-0.0007043486128441856,0.006340256053790238,0.010625547257022028,-0.0007041006175884101,0.006012771279301252,18.1574636159001,-0.8917597475837268,13610049379.730225,2.6248482016349305e-13,12.880000114440918
2015-05-21,176.94020486820656,177.80531050170612,176.77382717194772,177.59735107421875,64764600,5.179518915324196,0.002908249426362808,0.006347371518016803,0.011020880368752373,0.0029124824863293597,0.00580798825837971,17.986269715752016,-1.425749400024751,11502021403.381348,2.6815431296519316e-13,12.109999656677246
2015-05-22,177.21469269139422,177.6306115288807,177.10656242477594,177.17311096191406,57433500,5.177127282649437,-0.002391632674759059,0.006365704704717388,0.0063112906709292815,-0.002388774999957044,0.002957836554653115,17.8661383147411,-1.7655816609307122,10175671868.431091,2.6917197268704537e-13,12.130000114440918
2015-05-26,176.68232531005276,177.10657066744847,174.8522848785079,175.26820373535156,124308600,5.166317393475208,-0.010809889174228537,0.006772249141194607,-0.00033233852596836755,-0.01075167228379248,0.012861920992494743,18.638277741537316,0.6512126884259455,21787345030.856323,2.7900777250381515e-13,14.0600004196167
2015-05-27,175.72569227161335,177.1647677596547,175.31808727988246,176.93185424804688,93214000,5.175764654192342,0.009447260717133865,0.007066686000506895,0.00594125341381968,0.009492026946355647,0.010437241431852665,18.350408482967012,-0.2540141794035011,16492525861.877441,2.9726232630351024e-13,13.270000457763672
2015-05-28,176.62409580961238,176.84036903661448,176.04181197319468,176.73223876953125,74974600,5.174635811860571,-0.0011288423317710183,0.006999511396429742,0.008935513453084631,-0.0011282054289432075,0.004518457237794378,18.13265994747341,-0.9106478633263351,13250428908.850098,2.9215765861898706e-13,13.3100004196167
2015-05-29,176.66565360922212,176.70723533026117,175.36798913054474,175.63417053222656,124919600,5.168403255278377,-0.0062325565821943485,0.006743918906037254,0.012773715304263966,-0.006213174488988615,0.00762520297535549,18.643180888324714,0.6735693773447154,21940150329.21753,2.883591001085552e-13,13.84000015258789
2015-06-01,176.29965816611687,176.63238811990755,175.20162647150613,175.99188232421875,93338800,5.170437870816598,0.0020346155382213738,0.0063218520716641705,0.004025673872869895,0.0020366867728995874,0.008129702515287681,18.351746442178747,-0.24347338921519796,16426871105.88379,2.648058004044322e-13,13.970000267028809
